#station time x y
5 555.6 54.4742454031 52.425433191
1 555.6 27.3851935541 77.9106475285
2 555.8 52.2128867092 0.6608964759
3 555.8 36.0547250456 36.6619122909
4 555.8 54.4718903497 52.4213489554
5 555.8 54.4742454031 52.425433191
1 555.8 27.4087621125 77.8286960343
2 556.0 52.2237766584 0.5745662064
3 556.0 36.0547250456 36.6619122909
4 556.0 54.471866676 52.4213493886
5 556.0 54.4741743824 52.4254344902
1 556.0 27.4307188266 77.7446120653
2 556.2 52.2180655299 0.4896640045
3 556.2 36.0547250456 36.6619122909
4 556.2 54.471866676 52.4213493886
5 556.2 54.4738903001 52.4254396868
1 556.2 27.4520900133 77.6616549855
2 556.4 52.1987012853 0.4113593093
3 556.4 36.0547250456 36.6619122909
4 556.4 54.471866676 52.4213493886
5 556.4 54.4736062173 52.4254448834
1 556.4 27.4725186499 77.5795647916
2 556.6 52.1679886882 0.3431838809
3 556.6 36.0547250456 36.6619122909
4 556.6 54.4717956553 52.4213506878
5 556.6 54.4732274402 52.4254518125
1 556.6 27.48973241 77.4937589297
2 556.8 52.1341185154 0.2869023017
3 556.8 36.0547250456 36.6619122909
4 556.8 54.4717483079 52.4213515543
5 556.8 54.4731327462 52.4254535443
1 556.8 27.5058971076 77.4093749266
2 557.0 52.0986730324 0.2435839923
3 557.0 36.0547250456 36.6619122909
4 557.0 54.4717009609 52.4213524202
5 557.0 54.4730380518 52.4254552767
1 557.0 27.5200095852 77.3231522041
2 557.2 52.0621632539 0.2082666283
3 557.2 36.0547250456 36.6619122909
4 557.2 54.4716536135 52.4213532861
5 557.2 54.4729907048 52.4254561426
1 557.2 27.5336560944 77.2358485372
2 557.4 52.0261588638 0.180643962
3 557.4 36.0547250456 36.6619122909
4 557.4 54.471516245 52.4219061081
5 557.4 54.4729196842 52.4254574424
1 557.4 27.5465562655 77.1510547755
2 557.6 51.9948478158 0.1584314908
3 557.6 36.0547250456 36.6619122909
4 557.6 54.4722755149 52.4276704616
5 557.6 54.472801316 52.4254596074
1 557.6 27.5558766369 77.0631111101
2 557.8 51.9700353112 0.1380161581
3 557.8 36.0547250456 36.6619122909
4 557.8 54.4725759509 52.4295910467
5 557.8 54.4726829484 52.4254617725
1 557.8 27.5652072365 76.9768189184
2 558.0 51.952862019 0.1171737523
3 558.0 36.0547250456 36.6619122909
4 558.0 54.4726019606 52.4298657259
5 558.0 54.472540907 52.4254643715
1 558.0 27.5712966189 76.8879127624
2 558.2 51.9460406199 0.0988762124
3 558.2 36.0547250456 36.6619122909
4 558.2 54.4726019606 52.4298657259
5 558.2 54.472446213 52.4254661032
1 558.2 27.5784108129 76.7997886761
2 558.4 51.9584789068 0.0889984674
3 558.4 36.0547250456 36.6619122909
4 558.4 54.4726019606 52.4298657259
5 558.4 54.4723751924 52.4254674024
1 558.4 27.5861569419 76.7127388047
2 558.6 51.9757096326 0.0768242772
3 558.6 36.0547250456 36.6619122909
4 558.6 54.4726019606 52.4298657259
5 558.6 54.4723041717 52.4254687022
1 558.6 27.5925154225 76.6254731578
2 558.8 51.9942032115 0.0651754519
3 558.8 36.0547250456 36.6619122909
4 558.8 54.4734898737 52.4284737109
5 558.8 54.4722568243 52.4254695681
1 558.8 27.5988276354 76.5382095744
2 559.0 52.0128535467 0.0521481614
3 559.0 36.0547250456 36.6619122909
4 559.0 54.4730804148 52.4276557376
5 559.0 54.4721384566 52.4254717338
1 559.0 27.6071344851 76.4497595206
2 559.2 52.0305493783 0.0405158055
3 559.2 36.0547250456 36.6619122909
4 559.2 54.4726329539 52.4279390777
5 559.2 54.4721384566 52.4254717338
1 559.2 27.6142809555 76.3619098272
2 559.4 52.0504128941 0.0357188828
3 559.4 36.0547250456 36.6619122909
4 559.4 54.4726092806 52.4279395103
5 559.4 54.4720911096 52.4254725997
1 559.4 27.6210257097 76.2727009416
2 559.6 52.0705155921 0.0358698797
3 559.6 36.0547250456 36.6619122909
4 559.6 54.4689679229 52.4313079833
5 559.6 54.4719727419 52.4254747654
1 559.6 27.6293058516 76.1839770616
2 559.8 52.0873980168 0.0330586852
3 559.8 36.0547250456 36.6619122909
4 559.8 54.4677803848 52.4448122816
5 559.8 54.4719253945 52.4254756312
1 559.8 27.6370944341 76.0952743196
2 560.0 52.1071671996 0.033767195
3 560.0 36.0547250456 36.6619122909
4 560.0 54.4730857156 52.4645263392
5 560.0 54.4719017213 52.4254760645
1 560.0 27.6434629166 76.00828417
2 560.2 52.1266421946 0.0366829011
3 560.2 36.0547250456 36.6619122909
4 560.2 54.4836988756 52.4401186471
5 560.2 54.4664044781 52.4277778805
1 560.2 27.6498031051 75.9210200185
2 560.4 52.1416956372 0.0322579501
3 560.4 36.0547250456 36.6619122909
4 560.4 54.4835297147 52.40902929
5 560.4 54.4668004293 52.443729595
1 560.4 27.6564323372 75.8329177115
2 560.6 52.1483919845 0.0186441268
3 560.6 36.0547250456 36.6619122909
4 560.6 54.4904674416 52.3978962899
5 560.6 54.4701362227 52.4629293726
1 560.6 27.6645753825 75.7442002165
2 560.8 52.1506758552 0.0144720095
3 560.8 36.0547250456 36.6619122909
4 560.8 54.5112706503 52.4079721215
5 560.8 54.4830360201 52.440130767
1 560.8 27.6730403767 75.6562949638
2 561.0 52.150673329 0.0141969307
3 561.0 36.0547250456 36.6619122909
4 561.0 54.5262519276 52.4211812416
5 561.0 54.4827364837 52.4104195655
1 561.0 27.6832108465 75.5691428721
2 561.2 52.1506491439 0.0141974087
